Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter
Tenneco Carthage Lateral Expansion,Tennessee Gas Pipeline Co,Lateral,Interstate,Completed,LA,Southwest,FERC,CP08-27,7/8/10,2009,2009,21,0.5,50,12
TGT Greenville Lateral,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,MS,Southeast,FERC,CP07-417,7/8/10,2009,2009,373,96,768,36
Tenneco Concord Lateral Expansion,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,NH,Northeast,FERC,CP08-65,7/22/10,2009,2009,20,,30,
TGT Fayetteville Lateral Phase 2,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,AR,"Southwest,Southeast",FERC,CP07-417,7/8/10,2009,2009,335.5,83,483.5,36
TGT Fayetteville Lateral Phase 2,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,MS,"Southwest,Southeast",FERC,CP07-417,7/8/10,2009,2009,335.5,83,483.5,36
TETCO Northern Bridge Project,Texas Eastern Transmission,Expansion,Interstate,Completed,OH,Northeast,FERC,CP08-100,3/11/10,2009,2009,15,,50,
TETCO Northern Bridge Project,Texas Eastern Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP08-100,3/11/10,2009,2009,15,,50,
TETCO Northern Bridge Project,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP08-100,3/11/10,2009,2009,15,,50,
Fitchburg Expansion Project,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,MA,Northeast,FERC,CP08-63,7/8/10,2009,2009,23,5,12,12
TW Phoenix Lateral Project,Transwestern Pipeline Co,Expansion,Interstate,Completed,AZ,Western,FERC,CP06-459,3/11/10,2009,2009,957,284,500,"42,36,24"
Hi Fields Lateral,Southeast Supply Header LLC,Lateral,Interstate,Completed,AL,Southeast,FERC,CP07-44,3/11/10,2009,2009,11.5,5.5,87.5,16
Hi Fields Lateral,Southeast Supply Header LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP07-44,3/11/10,2009,2009,11.5,5.5,87.5,16
UNH Landfill gas-to-energy project,University New Hampshire,New Pipeline,Intrastate,Completed,NH,Northeast,State,na,7/8/10,2009,2009,15,13,26,12
TGT Midland Storage Lateral Exp,Texas Gas Transmission Co,Lateral,Interstate,Completed,KY,Southeast,FERC,CP07-405,7/8/10,2009,2009,6,11,92,30
Viking Fargo Lateral Expansion,Viking Gas Transmission Co,Expansion,Interstate,Completed,MN,"Midwest,Central",FERC,CP09-69,7/8/10,2009,2009,7.5,5,19,12
Viking Fargo Lateral Expansion,Viking Gas Transmission Co,Expansion,Interstate,Completed,ND,"Midwest,Central",FERC,CP09-69,7/8/10,2009,2009,7.5,5,19,12
Transco Sentinel Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,PA,Northeast,FERC,CP08-31,7/8/10,2009,2009,114.5,7,51,42
Transco Sentinel Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP08-31,7/8/10,2009,2009,114.5,7,51,42
WIG Piceance Expansion Phase 2,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP08-403,7/8/10,2009,2009,42,46,180,
WB Grasslands Expansion III,Williston Basin Interstate PL,Expansion,Interstate,Completed,MT,Central,FERC,CP09-39,7/8/10,2009,2009,14,,37.5,
WB Grasslands Expansion III,Williston Basin Interstate PL,Expansion,Interstate,Completed,ND,Central,FERC,CP09-39,7/8/10,2009,2009,14,,37.5,
WIG Douglas Expansion Project,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP08-468,7/22/10,2009,2009,0,,27.5,
WIG Douglas Expansion Project,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP08-468,7/22/10,2009,2009,0,,27.5,
Greyhawk North Lateral Phase I,Wycoff Gas Storage Co,Lateral,Interstate,Completed,NY,Northeast,FERC,CP03-33,7/30/10,2009,2009,5,4,400,16
Vector Athens (ACS) Expansion,Vector Pipeline,Expansion,Interstate,Completed,IL,"Midwest,Canada",FERC,CP08-29,7/22/10,2009,2009,9,,26.25,
Vector Athens (ACS) Expansion,Vector Pipeline,Expansion,Interstate,Completed,IN,"Midwest,Canada",FERC,CP08-29,7/22/10,2009,2009,9,,26.25,
Vector Athens (ACS) Expansion,Vector Pipeline,Expansion,Interstate,Completed,MI,"Midwest,Canada",FERC,CP08-29,7/22/10,2009,2009,9,,26.25,
Vector Athens (ACS) Expansion,Vector Pipeline,Expansion,Interstate,Completed,ON,"Midwest,Canada",FERC,CP08-29,7/22/10,2009,2009,9,,26.25,
ET Southeast Boosier Pipeline Phase 2,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,70,,400,24
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP05-131,6/26/09,2008,2008,29.1666666666667,18.8333333333333,116.666666666667,"24,20,16"
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Interstate,Completed,NY,Northeast,FERC,CP05-131,6/26/09,2008,2008,29.1666666666667,18.8333333333333,116.666666666667,"24,20,16"
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Interstate,Completed,MD,Northeast,FERC,CP05-131,6/26/09,2008,2008,29.1666666666667,18.8333333333333,116.666666666667,"24,20,16"
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Interstate,Completed,VA,Northeast,FERC,CP05-131,6/26/09,2008,2008,29.1666666666667,18.8333333333333,116.666666666667,"24,20,16"
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP05-131,6/26/09,2008,2008,29.1666666666667,18.8333333333333,116.666666666667,"24,20,16"
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Interstate,Completed,MD,Northeast,FERC,CP05-131,6/26/09,2008,2008,29.1666666666667,18.8333333333333,116.666666666667,"24,20,16"
