lon,lat,Number,Name,Issued,Expiration,Capacity,Company,Waterway,State
-79.0134337,41.3033409,2280,KINZUA PUMPED STORAGE,12/28/1965,11/30/2015,451800,"SENECA GENERATION, LLC",ALLEGHENY RIVER PA,PA
-95.2586497,35.8229165,2524,SALINA PUMPED STORAGE,1/3/1966,11/30/2015,260000,GRAND RIVER DAM AUTHORITY (OK),NEOSHO RIVER OK,OK
NA,NA,2492,VANCEBORO (STORAGE),4/4/1966,3/1/2016,0,"WOODLAND PULP, LLC",EAST BRANCH ST. CROIX RIVER ME,ME
-78.6141798,33.8732279,2503,KEOWEE -TOXAWAY (PS&CON),9/1/1966,8/31/2016,867600,"DUKE ENERGY CAROLINAS, LLC.",LITTLE RIVER SC,SC
-71.9223504,43.2416098,2485,NORTHFIELD MOUNTAIN PUMPED STORAGE,5/14/1968,4/30/2018,1080000,FIRSTLIGHT HYDRO GENERATING CO.,CONNECTICUT RIVER MA,MA
-90.7065529,46.0479102,2684,ARPIN,6/3/1969,4/30/2019,1450,FLAMBEAU HYDRO LLC.,CHIPPEWA EAST FORK WI,WI
-74.2926329,42.9411851,2685,BLENHEIM GILBOA PUMPED STORAGE,6/6/1969,4/30/2019,1160000,NEW YORK POWER AUTHORITY,SCH0HARIE CREEK NY,NY
-119.4179324,36.778261,2678,NARROWS NO. 2-SMARTVILLE T. L.,7/1/1969,4/30/2016,0,PACIFIC GAS AND ELECTRIC CO, CA,CA
-120.4403501,37.3246538,2467,MERCED FALLS,7/28/1969,2/28/2014,3440,PACIFIC GAS AND ELECTRIC CO (C,MERCED RIVER CA,CA
-85.005307,43.8519677,2680,LUDINGTON PUMPED STORAGE,7/30/1969,6/30/2019,1657500,CONSUMERS ENERGY CO (MI),LAKE MICHIGAN MI,MI
-82.949866,32.8554338,2413,WALLACE (PS&CON),8/6/1969,5/31/2020,324000,GEORGIA POWER CO (GA),OCONEE GA,GA
-72.7865699,42.6566264,2669,BEAR SWAMP (PS&CON),4/28/1970,3/31/2020,677250,"BEAR SWAMP POWER COMPANY, LLC",DEERFIELD RIVER MA,MA
